Year,StateAbbr,StateDesc,LocationName,DataSource,Category,Measure,Data_Value_Unit,Data_Value_Type,Data_Value,Data_Value_Footnote_Symbol,Data_Value_Footnote,Low_Confidence_Limit,High_Confidence_Limit,TotalPopulation,LocationID,CategoryID,MeasureId,DataValueTypeID,Short_Question_Text,Geolocation,Counties
2021,AL,Alabama,Dallas,BRFSS,Health Outcomes,Obesity among adults aged >=18 years,%,Crude prevalence,44.3,,,36.8,52.2,37619,01047,HLTHOUT,OBESITY,CrdPrv,Obesity,POINT (-87.11436 32.3335263),1542
2021,AL,Alabama,Fayette,BRFSS,Health Outcomes,Coronary heart disease among adults aged >=18 years,%,Age-adjusted prevalence,6.9,,,6.1,7.9,16148,01057,HLTHOUT,CHD,AgeAdjPrv,Coronary Heart Disease,POINT (-87.7642923 33.7161568),1546
2021,AL,Alabama,Calhoun,BRFSS,Health Risk Behaviors,No leisure-time physical activity among adults aged >=18 years,%,Age-adjusted prevalence,34.1,,,28.4,39.8,115972,01015,RISKBEH,LPA,AgeAdjPrv,Physical Inactivity,POINT (-85.8279089 33.7705162),1491
2021,AL,Alabama,Choctaw,BRFSS,Health Risk Behaviors,Binge drinking among adults aged >=18 years,%,Crude prevalence,11.3,,,8.8,13.6,12533,01023,RISKBEH,BINGE,CrdPrv,Binge Drinking,POINT (-88.2488894 31.9909539),1494
2021,AL,Alabama,Fayette,BRFSS,Health Risk Behaviors,No leisure-time physical activity among adults aged >=18 years,%,Age-adjusted prevalence,35,,,29.4,40.9,16148,01057,RISKBEH,LPA,AgeAdjPrv,Physical Inactivity,POINT (-87.7642923 33.7161568),1546
2021,AL,Alabama,Lawrence,BRFSS,Health Outcomes,Obesity among adults aged >=18 years,%,Age-adjusted prevalence,41.3,,,33.3,49.6,33090,01079,HLTHOUT,OBESITY,AgeAdjPrv,Obesity,POINT (-87.3218651 34.529776),1585
2021,AL,Alabama,Colbert,BRFSS,Disability,Self-care disability among adults aged >=18 years,%,Crude prevalence,4.5,,,3.9,5.2,57474,01033,DISABLT,SELFCARE,CrdPrv,Self-care Disability,POINT (-87.8014569 34.703112),1498
2021,AL,Alabama,Cullman,BRFSS,Health Outcomes,Depression among adults aged >=18 years,%,Age-adjusted prevalence,25.2,,,20.9,29.8,89496,01043,HLTHOUT,DEPRESSION,AgeAdjPrv,Depression,POINT (-86.8692666 34.1319229),1541
2021,AL,Alabama,Clay,BRFSS,Prevention,Current lack of health insurance among adults aged 18-64 years,%,Crude prevalence,12.3,,,9.7,15.5,14190,01027,PREVENT,ACCESS2,CrdPrv,Health Insurance,POINT (-85.8635254 33.2703999),1496
2021,AL,Alabama,Lamar,BRFSS,Health Outcomes,Cancer (excluding skin cancer) among adults aged >=18 years,%,Crude prevalence,8.6,,,7.7,9.5,13689,01075,HLTHOUT,CANCER,CrdPrv,Cancer (except skin),POINT (-88.0874309 33.7870852),100
